brand,type,handedness,sales,price,review_score
Gibson,BASS,Right,274.0,3043.9,4.8
PRS,Semi-hollow,Right,270.0,3055.76,4.3
  Gibson  ,Electric,Right,324.0,2147.94,3.2
Gibson,ELECTRIC,Right,184.0,3772.84,4.5
Fender,ELECTRIC,Right,427.0,1244.94,3.0
Yamaha,Acoustic,right handed,460.0,130.97,3.5
Fender,Electric,R,455.0,1066.23,
PRS,Electric,RH,489.0,1531.53,3.2
Schecter,Electric,Right-handed,,2241.1,2.9
strandberg,  Electric  ,  Right  ,282.0,2716.63,3.9
,Electric,right handed,404.0,592.48,3.1
PRS,Acoustic,Right,244.0,4226.48,
epiphone,ELECTRIC,Left,156.0,,4.2
Gibson,electric,  RIGHT  ,437.0,913.49,3.9
Yamaha,electric,Right,449.0,352.72,3.3
Gretsch,Electric,  R  ,399.0,2058.22,3.6
Strandberg,  Electric  ,Right,276.0,2854.58,4.3
Ibanez,  Acoustic  ,  Right  ,423.0,1169.14,3.3
Strandberg,Electric,LEFT,,2241.72,3.7
Martin,Semi-Hollow,  R  ,469.0,1494.18,3.9
Epiphone,  Electric  ,Right,516.0,308.4,3.3
GIBSON,Semi-Hollow,right,335.0,2747.47,4.7
yamaha,Acoustic,L,113.0,643.85,
Ibanez,Electric,,,1236.01,3.6
strandberg,Acoustic,Right,297.0,3412.47,4.0
  Gibson  ,ELECTRIC,RIGHT,305.0,2493.85,4.1
PRS,Acoustic,Right-handed,,3950.2,4.6
Epiphone,  Semi-Hollow  ,Right,507.0,395.72,3.7
YAMAHA,Electric,Right,427.0,845.69,2.9
Schecter,electric,Right,442.0,990.95,3.8
Strandberg,Electric,Right,398.0,24585.94580496901,3.1
Fender,Electric,Right,495.0,754.33,2.2
MARTIN,ELECTRIC,Right,377.0,1906.27,3.9
  PRS  ,electric,Right,270.0,2819.02,3.3
Fender,  Acoustic  ,Right,292.0,2216.88,3.9
Strandberg,Electric,Right,377.0,2097.36,3.6
PRS,Acoustic,Right,449.0,711.14,2.8
Strandberg,,Right,456.0,3154.28,3.7
IBANEZ,Electric,,389.0,1295.83,3.5
Strandberg,  Electric  ,right,316.0,2049.2,4.0
Strandberg,Electric,  right  ,278.0,3067.97,4.1
Yamaha,Acoustic,Right,427.0,605.73,2.7
Fender,Classical,Right,478.0,1410.66,4.2
Strandberg,  Electric  ,  right handed  ,398.0,2551.14,4.0
martin,Acoustic,RIGHT,435.0,632.84,3.3
Martin,Acoustic,,235.0,3853.64,4.7
ibanez,Semi-Hollow,L,123.0,858.13,3.6
Gibson,Electric,  Right  ,409.0,2376.87,4.2
Gretsch,ELECTRIC,Right,297.0,2255.56,4.4
Epiphone,ELECTRIC,  Left  ,158.0,418.58,3.2
Strandberg,Bass,Right,264.0,3448.6,4.4
Martin,,  Right  ,393.0,2780.32,3.8
ibanez,,Right,413.0,1551.59,3.5
  Gibson  ,,Right,341.0,2693.11,4.5
Schecter,Electric,RIGHT,468.0,11291.211114972633,3.0
Schecter,Electric,Right,,1604.5,
Gibson,Electric,Right-handed,274.0,,4.8
Yamaha,Electric,,384.0,452.11,3.5
SCHECTER,  Semi-Hollow  ,Right,334.0,1330.12,3.5
Ibanez,electric,  Right  ,395.0,1767.82,3.4
Strandberg,Semi-Hollow,,337.0,1756.58,3.7
Fender,  Electric  ,Right,382.0,1647.58,4.2
GRETSCH,Electric,  Right  ,265.0,2903.44,3.2
Strandberg,Semi-Hollow,Right,264.0,2183.51,3.0
  Yamaha  ,Electric,right,578.0,758.81,3.0
martin,  Electric  ,R,212.0,3798.94,3.9
Fender,  Electric  ,,114.0,1474.52,
  PRS  ,  ELECTRIC  ,Right,323.0,2117.35,3.6
  Strandberg  ,Electric,RIGHT,260.0,2445.73,3.2
Epiphone,Electric,RH,451.0,569.58,2.3
  ibanez  ,Classical,Right,507.0,406.68,2.8
Fender,Electric,Right,352.0,2410.07,0.0
  Gibson  ,Electric,Right,377.0,2064.71,2.2
PRS,Electric,Right,144.0,4869.18,5.0
  Martin  ,Electric,Right,390.0,539.88,2.9
Strandberg,Electric,Right,340.0,3346.32,3.9
Gretsch,Acoustic,Right,372.0,2875.69,4.5
,Acoustic,Right-handed,462.0,300.33,2.3
,Electric,Right,454.0,850.14,3.6
Prs,Electric,RH,177.0,4430.55,4.0
STRANDBERG,electric,Right,345.0,3021.46,3.7
Ibanez,Electric,right,357.0,1586.19,
Schecter,Electric,Right-handed,332.0,1366.45,2.1
Epiphone,Electric,R,531.0,166.75,2.5
Schecter,  Electric  ,Right,374.0,1353.53,
  Epiphone  ,electric,Right,532.0,544.18,3.5
Strandberg,Electric,Left,105.0,2102.15,3.9
Gretsch,Electric,Right,413.0,1281.24,4.2
  Yamaha  ,Acoustic,  RIGHT  ,449.0,280.04,3.3
PRS,Electric,Right,174.0,4502.06,3.8
  Martin  ,electric,  R  ,,1699.36,3.2
Ibanez,Electric,left handed,,1767.93,3.5
MARTIN,Electric,Right,328.0,2202.9,3.1
Epiphone,Acoustic,Right,494.0,738.38,3.2
Schecter,electric,RH,484.0,1153.21,3.2
Gretsch,Electric,Right,417.0,984.93,3.5
Gretsch,Acoustic,Right,337.0,1338.95,3.7
Gretsch,  Electric  ,  Right  ,352.0,2576.4,4.5
  GRETSCH  ,Electric,Right,256.0,2935.98,3.8
Ibanez,ELECTRIC,Right-handed,397.0,1004.73,3.8
Gibson,Semi-Hollow,  RIGHT  ,373.0,898.29,3.2
PRS,  Electric  ,Right,284.0,2376.62,
PRS,  Electric  ,Right,213.0,4142.9,4.1
Fender,Electric,Right,361.0,1653.7,4.1
Schecter,Electric,Right,337.0,1926.98,4.2
Epiphone,Electric,  Right  ,519.0,762.91,3.3
Gretsch,  electric  ,Right,,1078.22,4.0
PRS,Electric,Right,430.0,1026.58,3.5
Gretsch,Acoustic,Left,116.0,1748.02,
Martin,Electric,  Right-handed  ,374.0,920.27,3.8
Gibson,Classical,Right-handed,218.0,3692.12,3.2
Fender,  Electric  ,Right,399.0,926.35,3.8
Martin,Semi-Hollow,right handed,301.0,3394.13,4.8
Fender,Electric,right,412.0,1981.68,3.8
Gretsch,Electric,RH,483.0,822.4,3.5
Epiphone,Electric,Right,395.0,662.32,4.5
PRS,,Right,174.0,4452.33,4.3
Yamaha,Electric,Right,419.0,15735.816250713877,3.3
Ibanez,,Right,413.0,,2.6
ibanez,Electric,Right,439.0,818.96,2.3
schecter,electric,RIGHT,377.0,1064.84,0.0
Strandberg,Electric,LEFT,108.0,2945.31,3.3
Fender,Classical,Right,352.0,2280.17,3.8
  Strandberg  ,Electric,RIGHT,260.0,2445.73,3.2
Gibson,Classical,RH,314.0,2955.39,
Yamaha,Bass,R,471.0,423.65,3.0
Gretsch,electric,R,394.0,,3.6
  Gretsch  ,Electric,Right,359.0,318.65,3.0
Yamaha,electric,Right,453.0,187.47,2.5
strandberg,Electric,Right-handed,349.0,2130.48,3.9
Yamaha,Electric,Right,550.0,143.7,3.2
Martin,  Electric  ,Right,447.0,557.01,3.0
schecter,Bass,Right,-494.0,630.74,3.0
schecter,Electric,right,408.0,1119.55,4.0
  Ibanez  ,,left,137.0,1760.92,
Ibanez,Electric,RIGHT,324.0,1731.2,3.4
Schecter,Electric,Right,551.0,,2.9
GIBSON,Electric,Right,272.0,3080.26,5.0
  gretsch  ,Electric,RIGHT,431.0,1657.11,3.4
YAMAHA,Electric,Right,429.0,1186.16,3.6
Schecter,  ELECTRIC  ,  right  ,495.0,1213.96,2.6
Martin,Acoustic,Right,409.0,1915.11,3.5
  Yamaha  ,  Bass  ,right,471.0,708.66,
gretsch,  Electric  ,RIGHT,451.0,821.6,2.0
Schecter,Electric,  R  ,380.0,2341.05,3.7
Fender,Electric,Right,229.0,2257.47,4.0
  PRS  ,ELECTRIC,Right,506.0,956.19,2.9
GIBSON,Electric,Right,305.0,3086.2,3.7
Martin,Electric,right,357.0,3880.12,4.6
Schecter,Electric,  Right  ,496.0,1134.86,3.9
  Gretsch  ,Classical,Right,451.0,886.86,3.0
PRS,Acoustic,RH,298.0,2937.84,3.7
Epiphone,Electric,Right,444.0,574.35,3.4
yamaha,Bass,Right,430.0,1162.6,3.9
  Ibanez  ,,RIGHT,520.0,294.23,3.3
  Gibson  ,Electric,right handed,278.0,,4.4
  Schecter  ,Electric,Right,385.0,950.19,3.6
Strandberg,Acoustic,Right,337.0,2200.02,3.5
PRS,Electric,Right,456.0,1527.82,3.4
Gibson,ELECTRIC,Right-handed,389.0,1097.97,2.0
,  Acoustic  ,Right,420.0,18729.70016584185,3.9
IBANEZ,  Electric  ,Right,417.0,797.58,3.5
Epiphone,Electric,Right,457.0,680.85,3.3
Epiphone,electric,Right,483.0,342.0,3.2
Martin,Electric,right,244.0,3609.41,3.8
Gibson,electric,  Right  ,235.0,3971.08,4.6
Gretsch,Electric,Right,461.0,1069.42,3.1
Martin,  Electric  ,Right,447.0,557.01,3.0
Fender,Electric,R,-487.0,1172.5,3.9
FENDER,electric,Right,456.0,1520.37,4.0
  Epiphone  ,Electric,RIGHT,486.0,242.6,2.9
  Epiphone  ,ELECTRIC,Right,514.0,730.72,3.4
Yamaha,Classical,RIGHT,472.0,1188.86,3.6
STRANDBERG,Electric,,389.0,2529.18,3.6
  Fender  ,electric,right handed,424.0,1693.43,4.2
PRS,,L,127.0,2249.86,3.5
Epiphone,acoustic,Right,511.0,,3.7
Gretsch,Acoustic,  Right  ,361.0,2240.08,3.5
Fender,Acoustic,Right,344.0,1920.97,4.3
Schecter,  Electric  ,left,130.0,643.57,3.2
Martin,ELECTRIC,,376.0,1243.11,
Martin,Electric,Right-handed,263.0,3072.07,0.0
epiphone,Electric,Right,327.0,504.18,0.0
  Schecter  ,ELECTRIC,  Right  ,363.0,2437.4,
,bass,  right  ,,2564.17,4.2
FENDER,Electric,  Right  ,509.0,822.92,3.7
GRETSCH,Electric,Right,451.0,1348.05,2.9
Strandberg,Bass,Right,276.0,2598.01,4.2
Strandberg,Electric,Right,339.0,3109.69,3.6
PRS,Classical,Right,300.0,3730.38,5.0
IBANEZ,Semi-Hollow,  right handed  ,439.0,1393.49,3.9
Martin,Electric,Right,457.0,1173.0,
strandberg,Electric,Right-handed,320.0,3190.64,3.6
Strandberg,Classical,Right,350.0,3340.88,3.5
PRS,Classical,right,197.0,3679.6,4.0
Gretsch,  ELECTRIC  ,R,352.0,1841.22,3.6
  Epiphone  ,Electric,Right,,455.84,3.2
  Gretsch  ,  Electric  ,RIGHT,320.0,1975.3,4.0
Martin,Electric,Right,233.0,27006.965774699675,4.1
  Fender  ,Electric,RIGHT,406.0,1632.0,3.3
Fender,Acoustic,RH,390.0,1041.22,3.4
  Fender  ,Electric,Right,334.0,1419.44,3.0
Strandberg,  Classical  ,Right,281.0,2863.93,4.9
Gibson,Electric,Right,232.0,3931.56,4.8
Prs,Bass,RIGHT,209.0,3664.38,3.8
,Acoustic,  Right  ,197.0,3989.82,9.9
Epiphone,Acoustic,Right,414.0,644.93,3.8
Schecter,ELECTRIC,RH,331.0,2286.7,3.6
Ibanez,Bass,Right,451.0,782.21,2.5
  Strandberg  ,Electric,Right,421.0,2850.76,4.3
Fender,Semi-Hollow,,421.0,1486.93,2.9
Schecter,  Classical  ,,424.0,551.17,4.0
Gibson,Electric,LEFT,115.0,1527.51,3.4
GIBSON,ELECTRIC,Right,329.0,2293.17,3.9
MARTIN,Electric,Right,383.0,2458.64,3.8
  Epiphone  ,electric,Right,532.0,544.18,3.5
Strandberg,Electric,Right,352.0,3103.48,3.9
yamaha,Electric,Right-handed,452.0,1158.14,3.7
Gretsch,Electric,Right,413.0,1385.38,3.2
epiphone,Acoustic,  RIGHT  ,480.0,2304.924720171502,3.2
Schecter,classical,right handed,236.0,2249.89,4.0
PRS,  Acoustic  ,  Right  ,222.0,4961.01,
Epiphone,Electric,Right,433.0,576.24,2.8
Strandberg,Electric,Right,243.0,2889.71,3.9
Gibson,Electric,RIGHT,468.0,1646.69,3.7
Strandberg,Acoustic,Right,469.0,1675.1,3.9
Gibson,Electric,right handed,402.0,1741.96,3.0
  Strandberg  ,,right,330.0,2454.42,3.3
Epiphone,Electric,Left,147.0,604.23,3.0
Epiphone,Acoustic,Right,548.0,521.5,3.1
PRS,Electric,right,,2749.25,3.7
Ibanez,  ELECTRIC  ,left,160.0,668.6,3.7
Gibson,electric,  RH  ,236.0,3900.7,
  Gibson  ,Electric,right,476.0,906.18,3.1
Gibson,Bass,Right,347.0,2164.62,
Gretsch,Acoustic,Right,329.0,1789.84,3.5
  Gibson  ,  Classical  ,Right,346.0,2532.71,4.2
Yamaha,Acoustic,Right,462.0,1086.46,3.2
Schecter,Semi-Hollow,R,331.0,1681.89,4.2
Yamaha,Electric,RIGHT,518.0,252.95,2.4
Fender,Acoustic,RH,425.0,1037.93,3.0
gretsch,Acoustic,Right,467.0,483.71,3.4
Gibson,electric,Right,240.0,3318.29,5.0
GRETSCH,Electric,Right,456.0,982.03,3.4
Strandberg,Electric,  Right  ,,3064.17,4.0
Epiphone,Electric,  RIGHT  ,384.0,158.91,2.5
gibson,Electric,  Right  ,372.0,1418.03,3.2
Strandberg,Acoustic,Right,353.0,3354.08,
prs,  Electric  ,Right,393.0,3184.84,4.5
  Yamaha  ,Acoustic,right,360.0,944.42,
Fender,Semi-Hollow,Right,457.0,603.06,3.3
strandberg,ELECTRIC,Right-handed,352.0,3134.5,4.0
Epiphone,  Semi-Hollow  ,Right,466.0,452.79,4.5
Schecter,Electric,Right-handed,297.0,2199.43,4.2
Fender,Electric,Right,424.0,1567.28,4.5
  Fender  ,electric,Right,470.0,960.88,3.3
Schecter,Electric,Right,375.0,1046.0,3.6
Schecter,Electric,,401.0,1137.19,3.4
Schecter,Acoustic,Right,423.0,2109.67,
  GIBSON  ,Electric,  Right  ,318.0,3029.39,4.2
Yamaha,Classical,  RIGHT  ,434.0,927.37,2.8
Gibson,Electric,RIGHT,504.0,1360.65,2.8
PRS,Electric,Right,186.0,4532.88,4.4
Yamaha,Electric,  Right  ,471.0,857.22,3.6
,Electric,Right,276.0,3639.62,3.8
Strandberg,  Acoustic  ,Right,270.0,2589.26,3.6
Martin,Acoustic,Right,332.0,1429.5,3.3
Ibanez,Electric,Right,376.0,1718.44,3.9
PRS,CLASSICAL,Right-handed,,3089.5,4.2
Ibanez,Electric,  Right  ,431.0,1487.5,3.2
Strandberg,  Electric  ,Right,229.0,2695.91,3.5
Gretsch,Electric,RH,433.0,523.41,3.0
Strandberg,Electric,RH,261.0,2815.33,5.0
Fender,Electric,  Right  ,458.0,961.51,3.6
Schecter,Bass,Right,407.0,639.51,2.9
Ibanez,acoustic,Right,466.0,1085.11,3.5
  PRS  ,  Electric  ,Right,239.0,2597.73,4.1
  gibson  ,Electric,RH,369.0,,4.3
YAMAHA,  Electric  ,RIGHT,416.0,195.4,3.7
yamaha,  BASS  ,right,457.0,697.17,3.6
  PRS  ,Acoustic,RIGHT,219.0,3862.23,3.7
Strandberg,electric,LH,113.0,,3.2
Epiphone,  Acoustic  ,Right,477.0,783.77,
Strandberg,Acoustic,Right,257.0,3151.32,4.1
gretsch,Semi-Hollow,RIGHT,451.0,1567.37,3.2
epiphone,Electric,right handed,419.0,484.72,2.9
Gibson,ELECTRIC,RIGHT,403.0,1115.61,3.2
PRS,Classical,Right,267.0,2242.75,3.7
martin,Electric,Right,280.0,3242.03,3.7
Fender,ELECTRIC,Right,496.0,872.27,3.4
Gretsch,Electric,Right,303.0,2204.84,3.4
Epiphone,Electric,  L  ,105.0,687.06,3.7
PRS,Electric,Right,523.0,1088.27,3.5
  Gretsch  ,Electric,RIGHT,446.0,627.44,3.3
epiphone,Acoustic,RIGHT,400.0,,3.3
Strandberg,Electric,  Right  ,320.0,2157.07,3.6
  Fender  ,ELECTRIC,Right,472.0,747.64,2.9
Ibanez,Acoustic,RH,417.0,792.92,3.4
,  Electric  ,LEFT,124.0,2159.89,4.1
,Electric,  RH  ,239.0,2662.59,0.0
GRETSCH,Electric,,110.0,2003.73,2.7
  Schecter  ,Acoustic,RH,439.0,542.88,3.1
Yamaha,,left handed,126.0,859.31,3.1
Ibanez,Electric,Right,422.0,401.59,2.8
Strandberg,Acoustic,right,447.0,1874.95,3.7
Epiphone,Acoustic,Right-handed,462.0,306.42,1.7
YAMAHA,Electric,Right,391.0,1064.9,3.5
FENDER,Electric,Right,427.0,808.6,6.5
Epiphone,Classical,,490.0,789.0,3.8
Martin,Electric,  right  ,459.0,2125.22,3.9
Ibanez,Electric,,413.0,1322.53,3.0
  Ibanez  ,ELECTRIC,right handed,421.0,1652.9,3.5
Epiphone,CLASSICAL,right handed,467.0,572.4,2.9
Martin,Electric,Right-handed,467.0,921.28,3.1
schecter,Electric,Left,98.0,1483.26,2.5
strandberg,Electric,RIGHT,308.0,2159.45,3.9
Strandberg,Acoustic,Right,406.0,2761.32,3.8
PRS,Electric,Right,448.0,782.09,2.4
Fender,Classical,Right,470.0,519.24,3.3
EPIPHONE,Electric,right,467.0,761.27,3.8
PRS,  Electric  ,Right-handed,254.0,3933.37,5.0
IBANEZ,Electric,Right,500.0,706.65,3.4
Gretsch,  Electric  ,,291.0,2545.1,3.8
,Electric,RIGHT,528.0,858.58,3.7
  Epiphone  ,Bass,right handed,460.0,695.48,3.4
Strandberg,Electric,  Right  ,352.0,2446.38,4.1
Fender,Electric,  Right  ,411.0,2372.96,3.5
Epiphone,Semi-Hollow,,555.0,435.9,2.9
Ibanez,Classical,Right,458.0,1570.65,3.6
Schecter,Electric,LH,79.0,2268.79,4.0
Gibson,Classical,Left,136.0,1262.57,3.7
Prs,Electric,right handed,185.0,4588.89,4.2
Schecter,ELECTRIC,,379.0,2134.57,2.5
Martin,Acoustic,Right,448.0,509.73,3.1
Strandberg,  Classical  ,right handed,402.0,1973.86,3.5
Epiphone,Electric,left,126.0,718.79,2.0
Ibanez,  BASS  ,Right,415.0,270.32,3.1
IBANEZ,Electric,RH,310.0,1552.0,2.3
Schecter,Electric,Right,302.0,2462.32,3.0
Gretsch,ELECTRIC,Right,425.0,1465.86,3.1
gibson,Acoustic,  Right-handed  ,425.0,1036.89,3.1
Strandberg,electric,RIGHT,293.0,2481.82,4.2
MARTIN,acoustic,  right  ,485.0,717.69,3.1
  Fender  ,Electric,Right,510.0,1084.83,3.3
GRETSCH,Acoustic,Right,470.0,1865.44,3.9
Schecter,BASS,Right,375.0,2138.78,4.3
Strandberg,Electric,Right,290.0,2521.95,
PRS,Electric,Right,-459.0,1412.09,3.2
EPIPHONE,Classical,Right,419.0,329.77,2.4
Gretsch,Electric,R,418.0,1242.98,3.4
PRS,Electric,RH,174.0,3774.1,3.8
  PRS  ,Electric,Right,437.0,1473.48,3.2
Martin,Electric,Right,452.0,1515.67,3.2
Schecter,Electric,left handed,126.0,1102.44,3.3
  Schecter  ,Electric,Right,357.0,1009.05,2.8
Gibson,Semi-Hollow,Left,,2640.68,3.7
Yamaha,  electric  ,Right,,792.04,3.0
PRS,Electric,Right,456.0,1527.82,3.4
  Schecter  ,classical,Right,401.0,1191.52,3.6
Strandberg,Acoustic,Right,271.0,3041.89,
Gibson,electric,Right,325.0,3459.61,4.5
  Ibanez  ,Electric,Right,388.0,323.37,2.7
Gibson,Electric,right handed,288.0,3673.73,3.8
Ibanez,Electric,right,295.0,1286.1,3.8
Gibson,Electric,Right,470.0,1016.15,2.7
  Martin  ,Electric,RIGHT,375.0,1101.52,3.0
Martin,Electric,right handed,318.0,2967.91,4.4
Strandberg,ELECTRIC,  Right  ,425.0,1733.28,3.7
Martin,Acoustic,,448.0,854.14,3.6
martin,Electric,Right,,2461.13,0.0
GIBSON,ELECTRIC,Right,279.0,2827.17,3.4
Epiphone,SEMI-HOLLOW,Right,526.0,451.94,
Yamaha,Electric,Right,425.0,117.85,2.8
Ibanez,Acoustic,  Right  ,500.0,479.7,0.0
Gibson,  CLASSICAL  ,Right,325.0,2458.44,4.5
Gibson,Electric,Right,246.0,3946.79,4.2
,Electric,Right,-414.0,2282.08,4.7
Gibson,Electric,Right-handed,262.0,3654.49,3.9
  Fender  ,Classical,Right,412.0,966.09,
PRS,Acoustic,Right,333.0,3059.35,3.3
Ibanez,Bass,right,392.0,1357.23,3.8
Fender,Electric,Right,313.0,2136.68,3.7
Martin,Electric,Right,393.0,1196.61,3.3
FENDER,  Electric  ,Right,421.0,,3.4
Epiphone,ELECTRIC,  Right  ,439.0,736.15,2.9
Ibanez,Electric,Right,457.0,,3.8
prs,Electric,Right,361.0,1160.5,3.1
  PRS  ,ELECTRIC,,87.0,3346.19,4.1
Ibanez,ACOUSTIC,Right,282.0,16187.315660268463,3.4
Martin,  Electric  ,Right,442.0,1355.17,4.0
Fender,,RIGHT,416.0,2061.65,3.8
STRANDBERG,Electric,RH,282.0,3143.33,4.2
Strandberg,Electric,L,84.0,2141.48,3.6
  gretsch  ,Electric,RIGHT,431.0,1657.11,3.4
  Gretsch  ,Electric,  right handed  ,499.0,417.23,3.5
Fender,Semi-Hollow,Right,303.0,2482.6,4.3
  Strandberg  ,Classical,right,258.0,3265.41,3.7
Gretsch,  electric  ,right,434.0,1941.39,3.8
Martin,Semi-Hollow,Right,275.0,3047.26,
Strandberg,Electric,Right,458.0,1644.3,3.2
Prs,Electric,right,404.0,765.35,3.1
